Topic,Count,Name,Representation,Representative_Docs
15,112,15_saw_table_jig_cut,"['saw', 'table', 'jig', 'cut', 'miter', 'cutting', 'use', 'woodworking', 'simple', 'blade']","['How To Make A Table Saw Sawmill Jig', 'How to transform your table saw fence with ONE jig.', '#1 Table Saw Feature! (How I Chose My Replacement For My Old Table Saw)']"
16,107,16_growing_plant_grow_fruit,"['growing', 'plant', 'grow', 'fruit', 'garden', 'guide', 'dragon', 'fall', 'mistakes', 'complete']","['5 Dragon Fruit Growing Mistakes to Avoid', 'This Plant Does EVERYTHING | Borage Growing Guide', ""Nasturtiums: The Plant You're Not Growing (But Should Be)""]"
17,103,17_states_city_10_america,"['states', 'city', '10', 'america', 'california', 'moving', 'live', 'people', 'la', 'facts']","['What States Are REALLY The Most Dangerous in America', 'Top 10 river towns in the United States.', '10 Most Racist States in America. #1 is shocking.']"
18,90,18_mike_christian_questions_god,"['mike', 'christian', 'questions', 'god', 'episode', '20', 'doctor', 'sleep', 'health', 'crash course']","['20 Questions with Pastor Mike (Episode 94)', '20 Questions with Pastor Mike (Episode 28)', '20 Questions with Pastor Mike (Episode 64)']"
19,86,19_class_airport_business_train,"['class', 'airport', 'business', 'train', 'air', 'flying', 'flight', 'delta', 'hours', 'world']","['Nairobi to the Seychelles Kenya Airways Business Class', 'QANTAS: Perth to London 787 BUSINESS CLASS', 'Latam Airlines 787 Dreamliner Business Class Santiago to Lima']"
20,83,20_light_lamp_led_lights,"['light', 'lamp', 'led', 'lights', 'water', 'liquid', 'diy', 'install', 'jet', 'minecraft']","['This crystal can split light particles', 'DIY Concrete Lamp | LED String Lights', 'How To Convert A Fluorescent Light To LED [Bypass Ballast]']"
21,82,21_tools_drill_tool_woodworking,"['tools', 'drill', 'tool', 'woodworking', 'press', 'screws', 'pocket', 'shop', 'tips', 'bought']","['Must-Have Tools for a New Homeowner', ""7 of Woodworking's COOLEST tools"", ""NEW FORGE BLOWER, YOGO'S EARS, FORGING TOOLS!!!""]"
22,75,22_lego_toys_star wars_wars,"['lego', 'toys', 'star wars', 'wars', 'star', 'review', 'tutorial', 'set', 'largest', 'robot']","['THE WEIRDEST LEGO PIECE', 'How to ID LEGO Bricks #lego #legos #legostarwars #bricklink #legotips #legomoc #starwars', 'Finding LEGO with Image Search #lego #legos #legoaddict #afol #legomoc #legobuild #legofan']"
23,74,23_airbnb_tour_house_cabin,"['airbnb', 'tour', 'house', 'cabin', 'tiny', 'tiny house', 'design', 'modern', 'luxury', 'frame']","['130 SQFT Tiny House Tour! | Full Airbnb Tiny Home Tour!', 'A Modern Tiny House Retreat! | Full Airbnb Tiny Home Tour!', 'The Coalmont Cabin - Waterfront Tiny House Airbnb Tour!']"
24,67,24_nba_history_nfl_greatest,"['nba', 'history', 'nfl', 'greatest', 'team', 'good', '10', 'actually', 'didn know', 'time']","['Timeline Of The Greatest Rebuild In NBA History', '10 OLDEST Players In NBA History', '10 HEAVIEST Players In NBA History']"
25,65,25_magnus_vs_beat_cup,"['magnus', 'vs', 'beat', 'cup', 'championship', 'game', 'world', 'wins', 'guess', 'mistake']","['What Is The Magnus Force?', 'HANS NIEMANN SHOCKS MAGNUS CARLSEN!!!!!!', 'MAGNUS CARLSEN vs GUKESH!!!!!!']"
26,62,26_ai_news_week_learning,"['ai', 'news', 'week', 'learning', 'tools', 'play', 'use', 'sam', 'virtual', 'video']","['AI Revolution: What Nobody Else Is Seeing', 'How the smartest founders are winning in AI', 'BEST AI-generated EDM EVER']"
27,62,27_renovation_house_ep_framing,"['renovation', 'house', 'ep', 'framing', 'abandoned', 'tiny house', 'start finish', 'finish', '120', 'year old']","['Ep. 15 Abandoned Building Renovation || INSULATION + SOUNDPROOFING', '4-year START-TO-FINISH Renovation of Abandoned Warehouse in Chicago', 'Is all of this LEAD? (120 year old House Renovation)']"
28,59,28_camping_overnight_travel_gear,"['camping', 'overnight', 'travel', 'gear', 'night', 'winter', 'pack', 'worth', 'solo', 'gadgets']","['The LAZY Mans Way to Backpacking | E-Scooter Camping Idaho', 'Winter Camping In Snowstorm With A Heated Tent', 'High Winds Camping Overnight With Anker 767 Portable Power Station']"
29,54,29_slow_mo_slow mo_mo guys,"['slow', 'mo', 'slow mo', 'mo guys', 'guys', 'slow motion', 'motion', 'bullet', 'smarter day', 'smarter']","['Fire Tennis - The Slow Mo Guys', 'Imploding Drum - The Slow Mo Guys', 'Jelly Tennis - The Slow Mo Guys']"
